Row, Timestamp, Series 1, Series 2
0   , 0.800, 49     , -6603  
1   , 0.810, 49     , -6596  
2   , 0.820, 48     , -6586  
3   , 0.830, 48     , -6578  
4   , 0.840, 48     , -6571  
5   , 0.850, 47     , -6560  
6   , 0.860, 47     , -6552  
7   , 0.870, 49     , -6545  
8   , 0.880, 49     , -6535  
9   , 0.890, 49     , -6526  
10  , 0.900, 49     , -6519  
11  , 0.910, 49     , -6509  
12  , 0.920, 49     , -6501  
13  , 0.930, 49     , -6494  
14  , 0.940, 49     , -6484  
15  , 0.950, 48     , -6476  
16  , 0.960, 48     , -6468  
17  , 0.970, 47     , -6459  
18  , 0.980, 47     , -6450  
19  , 0.990, 47     , -6442  
20  , 1.000, 49     , -6433  
21  , 1.010, 49     , -6425  
22  , 1.020, 48     , -6417  
23  , 1.030, 48     , -6408  
24  , 1.040, 48     , -6400  
25  , 1.050, 47     , -6391  
26  , 1.060, 47     , -6382  
27  , 1.070, 47     , -6374  
28  , 1.080, 47     , -6366  
29  , 1.090, 47     , -6357  
30  , 1.100, 47     , -6349  
31  , 1.110, 47     , -6341  
32  , 1.120, 46     , -6331  
33  , 1.130, 46     , -6323  
34  , 1.140, 46     , -6315  
35  , 1.150, 46     , -6306  
36  , 1.160, 46     , -6299  
37  , 1.170, 45     , -6290  
38  , 1.180, 45     , -6281  
39  , 1.190, 45     , -6274  
40  , 1.200, 45     , -6266  
41  , 1.210, 45     , -6257  
42  , 1.220, 45     , -6249  
43  , 1.230, 45     , -6241  
44  , 1.240, 45     , -6232  
45  , 1.250, 45     , -6224  
46  , 1.260, 45     , -6216  
47  , 1.270, 45     , -6207  
48  , 1.280, 45     , -6199  
49  , 1.290, 45     , -6191  
50  , 1.300, 47     , -6183  
51  , 1.310, 47     , -6175  
52  , 1.320, 47     , -6167  
53  , 1.330, 47     , -6158  
54  , 1.340, 47     , -6151  
55  , 1.350, 47     , -6144  
56  , 1.360, 47     , -6134  
57  , 1.370, 49     , -6126  
58  , 1.380, 49     , -6119  
59  , 1.390, 49     , -6109  
60  , 1.400, 49     , -6101  
61  , 1.410, 49     , -6094  
62  , 1.420, 48     , -6084  
63  , 1.430, 48     , -6076  
64  , 1.440, 48     , -6069  
65  , 1.450, 47     , -6059  
66  , 1.460, 47     , -6051  
67  , 1.470, 49     , -6044  
68  , 1.480, 49     , -6034  
69  , 1.490, 49     , -6026  
70  , 1.500, 48     , -6019  
71  , 1.510, 48     , -6009  
72  , 1.520, 48     , -6001  
73  , 1.530, 48     , -5994  
74  , 1.540, 48     , -5984  
75  , 1.550, 48     , -5976  
76  , 1.560, 48     , -5969  
77  , 1.570, 47     , -5959  
78  , 1.580, 47     , -5951  
79  , 1.590, 47     , -5944  
80  , 1.600, 47     , -5934  
81  , 1.610, 47     , -5926  
82  , 1.620, 46     , -5918  
83  , 1.630, 46     , -5909  
84  , 1.640, 46     , -5901  
85  , 1.650, 45     , -5893  
86  , 1.660, 45     , -5884  
87  , 1.670, 45     , -5876  
88  , 1.680, 45     , -5868  
89  , 1.690, 45     , -5859  
90  , 1.700, 45     , -5851  
91  , 1.710, 45     , -5843  
92  , 1.720, 44     , -5834  
93  , 1.730, 44     , -5826  
94  , 1.740, 44     , -5819  
95  , 1.750, 44     , -5810  
96  , 1.760, 44     , -5802  
97  , 1.770, 46     , -5795  
98  , 1.780, 46     , -5785  
99  , 1.790, 46     , -5777  
100 , 1.800, 46     , -5770  
101 , 1.810, 46     , -5760  
102 , 1.820, 46     , -5752  
103 , 1.830, 46     , -5745  
104 , 1.840, 46     , -5735  
105 , 1.850, 48     , -5728  
106 , 1.860, 48     , -5719  
107 , 1.870, 48     , -5711  
108 , 1.880, 48     , -5703  
109 , 1.890, 48     , -5695  
110 , 1.900, 48     , -5686  
111 , 1.910, 48     , -5678  
112 , 1.920, 47     , -5670  
113 , 1.930, 47     , -5661  
114 , 1.940, 47     , -5653  
115 , 1.950, 47     , -5645  
116 , 1.960, 47     , -5636  
117 , 1.970, 46     , -5628  
118 , 1.980, 46     , -5620  
119 , 1.990, 46     , -5611  
120 , 2.000, 48     , -5603  
121 , 2.010, 48     , -5595  
122 , 2.020, 48     , -5586  
123 , 2.030, 48     , -5578  
124 , 2.040, 48     , -5570  
125 , 2.050, 50     , -5561  
126 , 2.060, 50     , -5553  
127 , 2.070, 49     , -5545  
