Row, Timestamp, Series 1, Series 2
0   , 0.310, 52     , 783    
1   , 0.320, 52     , 792    
2   , 0.330, 51     , 800    
3   , 0.340, 51     , 809    
4   , 0.350, 50     , 818    
5   , 0.360, 50     , 827    
6   , 0.370, 50     , 835    
7   , 0.380, 50     , 845    
8   , 0.390, 50     , 853    
9   , 0.400, 49     , 861    
10  , 0.410, 49     , 870    
11  , 0.420, 49     , 879    
12  , 0.430, 49     , 886    
13  , 0.440, 49     , 896    
14  , 0.450, 51     , 904    
15  , 0.460, 51     , 912    
16  , 0.470, 51     , 922    
17  , 0.480, 50     , 930    
18  , 0.490, 50     , 938    
19  , 0.500, 50     , 948    
20  , 0.510, 50     , 956    
21  , 0.520, 50     , 964    
22  , 0.530, 50     , 974    
23  , 0.540, 50     , 982    
24  , 0.550, 49     , 991    
25  , 0.560, 49     , 1000   
26  , 0.570, 49     , 1008   
27  , 0.580, 48     , 1017   
28  , 0.590, 48     , 1026   
29  , 0.600, 50     , 1034   
30  , 0.610, 50     , 1042   
31  , 0.620, 50     , 1051   
32  , 0.630, 50     , 1059   
33  , 0.640, 50     , 1068   
34  , 0.650, 49     , 1077   
35  , 0.660, 49     , 1085   
36  , 0.670, 49     , 1093   
37  , 0.680, 51     , 1103   
38  , 0.690, 51     , 1111   
39  , 0.700, 51     , 1119   
40  , 0.710, 51     , 1129   
41  , 0.720, 51     , 1137   
42  , 0.730, 50     , 1145   
43  , 0.740, 50     , 1155   
44  , 0.750, 52     , 1163   
45  , 0.760, 52     , 1172   
46  , 0.770, 52     , 1181   
47  , 0.780, 51     , 1189   
48  , 0.790, 51     , 1197   
49  , 0.800, 50     , 1207   
50  , 0.810, 50     , 1215   
51  , 0.820, 50     , 1224   
52  , 0.830, 50     , 1233   
53  , 0.840, 50     , 1241   
54  , 0.850, 49     , 1250   
55  , 0.860, 49     , 1259   
56  , 0.870, 49     , 1268   
57  , 0.880, 48     , 1277   
58  , 0.890, 48     , 1286   
59  , 0.900, 48     , 1294   
60  , 0.910, 48     , 1302   
61  , 0.920, 48     , 1312   
62  , 0.930, 47     , 1320   
63  , 0.940, 47     , 1328   
64  , 0.950, 46     , 1337   
65  , 0.960, 46     , 1346   
66  , 0.970, 46     , 1353   
67  , 0.980, 48     , 1363   
68  , 0.990, 48     , 1371   
69  , 1.000, 48     , 1378   
70  , 1.010, 48     , 1388   
71  , 1.020, 48     , 1396   
72  , 1.030, 47     , 1403   
73  , 1.040, 47     , 1413   
74  , 1.050, 47     , 1421   
75  , 1.060, 47     , 1429   
